1,Alyssa Gagliardi ,Boston Pride,BOS02,D,16000
2,Alyssa Wohlfeiler ,Connecticut Whale,CON88,F,10000
3,Amanda Makela ,Buffalo Beauts,BUF34,G,15000
4,Amanda Pelkey ,Boston Pride,BOS16,F,13500
5,Amber Moore ,New York Riveters,NYR02,D,10000
6,Annemarie Cellino ,Buffalo Beauts,BUF15,F,10000
7,Anya Battaglino ,Connecticut Whale,CON04,D,10000
8,Ashley Johnston ,New York Riveters,NYR10,D,14000
9,Beth Hanrahan ,New York Riveters,NYR28,F,10500
10,Blake Bolden ,Boston Pride,BOS10,D,15000
11,Bray Ketchum ,New York Riveters,NYR10,F,14000
12,Brianna Decker ,Boston Pride,BOS14,F,22000
13,Brianne Mclaughlin ,Buffalo Beauts,BUF29,G,22000
14,Brittany Dougherty ,Connecticut Whale,CON19,F,10000
15,Brittany Ott ,Boston Pride,BOS29,G,17000
16,Brooke Ammerman ,New York Riveters,NYR20,F,16500
17,Casey Pickett ,Boston Pride,BOS07,F,10000
18,Celeste Brown ,New York Riveters,NYR24,F,15000
19,Chelsea Laden ,Connecticut Whale,CON78,G,14000
20,Chelsea Laden ,New York Riveters,NYR01,G,14000
21,Cherie Hendrickson ,Boston Pride,BOS18,D,10000
22,Cherie Stewart ,New York Riveters,NYR13,F,10000
23,Corinne Boyles ,New York Riveters,NYR31,G,10000
24,Corinne Buie ,Boston Pride,BOS23,F,12000
25,Courtney Carnes ,Buffalo Beauts,BUF05,F,10000
26,Danielle Ward ,Connecticut Whale,CON22,F,10000
27,Denna Laing ,Boston Pride,BOS24,F,10000
28,Devon Skeats ,Buffalo Beauts,BUF21,F,15000
29,Elena Orlando ,New York Riveters,NYR04,D,10000
30,Emily Field ,Boston Pride,BOS15,F,13500
31,Emily Pfalzer ,Buffalo Beauts,BUF07,D,21000
32,Erin Barley-Maloney ,New York Riveters,NYR22,F,14000
33,Erin Zach ,Buffalo Beauts,BUF20,F,13000
34,Gabie Figueroa ,New York Riveters,NYR21,D,10000
35,Gigi Marvin ,Boston Pride,BOS19,D,20000
36,Hailey Browne ,Buffalo Beauts,BUF24,F,15000
37,Hannah McGowan ,Buffalo Beauts,BUF2,F,10000
38,Hayley Moore ,Boston Pride,BOS00,F,10000
39,Hayley Williams ,Buffalo Beauts,BUF77,F,13000
40,Hilary Knight ,Boston Pride,BOS21,F,22000
41,Jaimie Leonoff ,Connecticut Whale,CON32,G,10000
42,Janine Weber ,New York Riveters,NYR12,F,19500
43,Jenny Scrivens ,New York Riveters,NYR30,G,10000
44,Jessica Fickel ,Buffalo Beauts,BUF06,F,15000
45,Jessica Koizumi ,Connecticut Whale,CON56,F,20500
46,Jillian Dempsey ,Boston Pride,BOS03,F,10500
47,Jordan Brickner ,Connecticut Whale,CON26,D,10000
48,Jordan Smelker ,Boston Pride,BOS11,F,16000
49,Kacey Bellamy ,Boston Pride,BOS22,D,22000
50,Kaleigh Fratkin ,Connecticut Whale,CON13,D,20000
51,Kate Buesser ,Connecticut Whale,CON05,F,10000
52,Katia Pashkevitch ,Connecticut Whale,CON44,D,10000
53,Kelley Steadman ,Buffalo Beauts,BUF03,F,10000
54,Kelli Stack ,Connecticut Whale,CON61,F,25000
55,Kelly Babstock ,Connecticut Whale,CON08,F,18000
56,Kelly Cooke ,Boston Pride,BOS05,F,10500
57,Kelly Mcdonald ,Buffalo Beauts,BUF14,D,13000
58,Kelsie Fralick ,Boston Pride,BOS01,G,10000
59,Kimberly Sass ,Buffalo Beauts,BUF01,G,10000
60,Kira Dosdall ,New York Riveters,NYR26,D,13500
61,Kourtney Kunichika ,Buffalo Beauts,BUF36,F,10000
62,Lauren Slebodnick ,Boston Pride,BOS30,G,12500
63,Lindsay Berman ,Connecticut Whale,CON10,D,15000
64,Lindsay Grigg ,Buffalo Beauts,BUF23,D,13000
65,Liudmila Belyakova ,New York Riveters,NYR09,F,20000
66,Madison Packer ,New York Riveters,NYR14,F,15000
67,Maggie Giamo ,Buffalo Beauts,BUF26,F,10000
68,Margot Scharfe ,New York Riveters,NYR19,F,10000
69,Marissa Gedman ,Boston Pride,BOS12,D,10000
70,Meagan Mangene ,Boston Pride,BOS57,D,22500
71,Megan Bozek ,Buffalo Beauts,BUF09,D,10000
72,Meghan Duggan ,Buffalo Beauts,BUF10,F,22500
73,Meghan Fardelmann ,New York Riveters,NYR18,F,20000
74,Micaela Long ,Connecticut Whale,CON16,F,10000
75,Molly Engstrom ,Connecticut Whale,CON09,D,12000
76,Morgan Fritz-Ward ,New York Riveters,NYR11,F,12500
77,Nana Fujimoto ,New York Riveters,NYR33,G,21000
78,Nicole Stock ,Connecticut Whale,CON24,G,10000
79,Paige Harrington ,Buffalo Beauts,BUF02,D,10000
80,Rachel Llanes ,Boston Pride,BOS91,F,10500
81,Sam Faber ,Connecticut Whale,CON28,F,13500
82,Shannon Doyle ,Connecticut Whale,CON06,D,15000
83,Shelby Bram ,Buffalo Beauts,BUF13,F,15000
84,Shenae Lundberg ,Connecticut Whale,CON78,G,15000
85,Shenae Lundberg ,New York Riveters,NYR01,G,15000
86,Shiann Darkangelo ,Connecticut Whale,CON27,F,17000
87,Sydney Kidd ,New York Riveters,NYR08,D,15000
88,Tara Tomimoto ,Connecticut Whale,CON44,D,10000
89,Tatiana Rafter ,Buffalo Beauts,BUF43,F,15000
90,Taylor Holze ,New York Riveters,NYR91,F,10000
91,Yekaterina Smolentseva ,Connecticut Whale,CON17,F,22000
92,Zoe Hickel ,Boston Pride,BOS44,F,16000
